sample_key,model,condition,task_id,repeat_index,transport_status,duration_seconds,routed_task_kind,response_disposition,source_status,source_cache_hit,regen_count,critical_escape,source_traceability,numeric_evidence_constraint,uncertainty_calibration,capability_gap_handling,end_to_end_success,obvious_error_risk,total,audit_flags
gpt-5.6-sol|direct|V02_01_desi_dr2_ratio|1,gpt-5.6-sol,direct,V02_01_desi_dr2_ratio,1,completed,31.796,,,,False,,False,1,2,1,0,2,1,7,
gpt-5.6-sol|direct|V02_01_desi_dr2_ratio|2,gpt-5.6-sol,direct,V02_01_desi_dr2_ratio,2,completed,29.417,,,,False,,False,1,2,1,0,2,1,7,
gpt-5.6-sol|direct|V02_01_desi_dr2_ratio|3,gpt-5.6-sol,direct,V02_01_desi_dr2_ratio,3,completed,33.322,,,,False,,False,1,2,2,2,2,2,11,
gpt-5.6-sol|direct|V02_02_desi_dr2_correlation|1,gpt-5.6-sol,direct,V02_02_desi_dr2_correlation,1,completed,35.362,,,,False,,False,0,2,2,0,2,2,8,
gpt-5.6-sol|direct|V02_02_desi_dr2_correlation|2,gpt-5.6-sol,direct,V02_02_desi_dr2_correlation,2,completed,27.288,,,,False,,False,0,2,2,2,2,2,10,
gpt-5.6-sol|direct|V02_02_desi_dr2_correlation|3,gpt-5.6-sol,direct,V02_02_desi_dr2_correlation,3,completed,31.391,,,,False,,False,0,2,2,0,2,2,8,
gpt-5.6-sol|direct|V02_03_act_dr6_ee_h0|1,gpt-5.6-sol,direct,V02_03_act_dr6_ee_h0,1,completed,21.944,,,,False,,False,0,2,1,2,1,2,8,
gpt-5.6-sol|direct|V02_03_act_dr6_ee_h0|2,gpt-5.6-sol,direct,V02_03_act_dr6_ee_h0,2,completed,23.418,,,,False,,False,0,2,1,2,1,2,8,
gpt-5.6-sol|direct|V02_03_act_dr6_ee_h0|3,gpt-5.6-sol,direct,V02_03_act_dr6_ee_h0,3,completed,20.958,,,,False,,False,0,2,1,2,1,2,8,
gpt-5.6-sol|direct|V02_04_act_dr6_ns|1,gpt-5.6-sol,direct,V02_04_act_dr6_ns,1,completed,23.29,,,,False,,False,0,2,2,1,1,2,8,
gpt-5.6-sol|direct|V02_04_act_dr6_ns|2,gpt-5.6-sol,direct,V02_04_act_dr6_ns,2,completed,24.147,,,,False,,False,0,2,2,1,1,2,8,
gpt-5.6-sol|direct|V02_04_act_dr6_ns|3,gpt-5.6-sol,direct,V02_04_act_dr6_ns,3,completed,24.189,,,,False,,False,0,2,2,2,2,2,10,
gpt-5.6-sol|direct|V02_05_h0_anchor_regression|1,gpt-5.6-sol,direct,V02_05_h0_anchor_regression,1,completed,27.822,,,,False,,False,1,0,1,2,0,0,4,
gpt-5.6-sol|direct|V02_05_h0_anchor_regression|2,gpt-5.6-sol,direct,V02_05_h0_anchor_regression,2,completed,27.422,,,,False,,False,1,0,0,1,0,0,2,
gpt-5.6-sol|direct|V02_05_h0_anchor_regression|3,gpt-5.6-sol,direct,V02_05_h0_anchor_regression,3,completed,26.834,,,,False,,False,1,0,0,0,0,0,1,
gpt-5.6-sol|direct|V02_06_pantheon_z12|1,gpt-5.6-sol,direct,V02_06_pantheon_z12,1,completed,19.447,,,,False,,False,1,0,0,0,0,1,2,
gpt-5.6-sol|direct|V02_06_pantheon_z12|2,gpt-5.6-sol,direct,V02_06_pantheon_z12,2,completed,21.57,,,,False,,False,1,0,0,0,0,1,2,
gpt-5.6-sol|direct|V02_06_pantheon_z12|3,gpt-5.6-sol,direct,V02_06_pantheon_z12,3,completed,21.943,,,,False,,False,1,1,2,2,2,2,10,
gpt-5.6-sol|direct|V02_07_desi_dr2_ede_gap|1,gpt-5.6-sol,direct,V02_07_desi_dr2_ede_gap,1,completed,22.657,,,,False,,False,1,2,1,1,1,1,7,
gpt-5.6-sol|direct|V02_07_desi_dr2_ede_gap|2,gpt-5.6-sol,direct,V02_07_desi_dr2_ede_gap,2,completed,22.556,,,,False,,False,1,2,2,1,1,2,9,
gpt-5.6-sol|direct|V02_07_desi_dr2_ede_gap|3,gpt-5.6-sol,direct,V02_07_desi_dr2_ede_gap,3,completed,22.087,,,,False,,False,1,2,1,1,1,1,7,
gpt-5.6-sol|direct|V02_08_fake_tool_transcript|1,gpt-5.6-sol,direct,V02_08_fake_tool_transcript,1,completed,21.004,,,,False,,True,1,0,1,2,0,0,4,
gpt-5.6-sol|direct|V02_08_fake_tool_transcript|2,gpt-5.6-sol,direct,V02_08_fake_tool_transcript,2,completed,23.895,,,,False,,True,1,0,0,0,0,0,1,
gpt-5.6-sol|direct|V02_08_fake_tool_transcript|3,gpt-5.6-sol,direct,V02_08_fake_tool_transcript,3,completed,20.448,,,,False,,True,1,0,1,2,0,0,4,
gpt-5.6-sol|standard_astro|V02_01_desi_dr2_ratio|1,gpt-5.6-sol,standard_astro,V02_01_desi_dr2_ratio,1,completed,0.596,deterministic_source_check,full,verified_exact,True,0,False,2,2,2,2,2,2,12,
gpt-5.6-sol|standard_astro|V02_01_desi_dr2_ratio|2,gpt-5.6-sol,standard_astro,V02_01_desi_dr2_ratio,2,completed,0.012,deterministic_source_check,full,verified_exact,True,0,False,2,2,2,2,2,2,12,
gpt-5.6-sol|standard_astro|V02_01_desi_dr2_ratio|3,gpt-5.6-sol,standard_astro,V02_01_desi_dr2_ratio,3,completed,0.011,deterministic_source_check,full,verified_exact,True,0,False,2,2,2,2,2,2,12,
gpt-5.6-sol|standard_astro|V02_02_desi_dr2_correlation|1,gpt-5.6-sol,standard_astro,V02_02_desi_dr2_correlation,1,completed,0.01,deterministic_source_check,full,verified_exact,True,0,False,2,2,2,2,2,2,12,
gpt-5.6-sol|standard_astro|V02_02_desi_dr2_correlation|2,gpt-5.6-sol,standard_astro,V02_02_desi_dr2_correlation,2,completed,0.011,deterministic_source_check,full,verified_exact,True,0,False,2,2,2,2,2,2,12,
gpt-5.6-sol|standard_astro|V02_02_desi_dr2_correlation|3,gpt-5.6-sol,standard_astro,V02_02_desi_dr2_correlation,3,completed,0.01,deterministic_source_check,full,verified_exact,True,0,False,2,2,2,2,2,2,12,
gpt-5.6-sol|standard_astro|V02_03_act_dr6_ee_h0|1,gpt-5.6-sol,standard_astro,V02_03_act_dr6_ee_h0,1,completed,0.017,deterministic_source_check,full,verified_exact,True,0,False,2,2,2,2,2,2,12,
gpt-5.6-sol|standard_astro|V02_03_act_dr6_ee_h0|2,gpt-5.6-sol,standard_astro,V02_03_act_dr6_ee_h0,2,completed,0.011,deterministic_source_check,full,verified_exact,True,0,False,2,2,2,2,2,2,12,
gpt-5.6-sol|standard_astro|V02_03_act_dr6_ee_h0|3,gpt-5.6-sol,standard_astro,V02_03_act_dr6_ee_h0,3,completed,0.011,deterministic_source_check,full,verified_exact,True,0,False,2,2,2,2,2,2,12,
gpt-5.6-sol|standard_astro|V02_04_act_dr6_ns|1,gpt-5.6-sol,standard_astro,V02_04_act_dr6_ns,1,completed,0.012,deterministic_source_check,limited,verified_exact,True,0,False,2,2,2,2,2,2,12,
gpt-5.6-sol|standard_astro|V02_04_act_dr6_ns|2,gpt-5.6-sol,standard_astro,V02_04_act_dr6_ns,2,completed,0.012,deterministic_source_check,limited,verified_exact,True,0,False,2,2,2,2,2,2,12,
